Title: 350 micron Polarimetry from the Caltech Submillimeter Observatory  
Authors: Dotson J.L., Vaillancourt J.E., Kirby L., Dowell C.D., Hildebrand R.H.,
         Davidson J.A.
Table: Data
================================================================================
Byte-by-byte Description of file: apjs333144t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label Explanations
--------------------------------------------------------------------------------
   1- 15 A15    ---    Name  Object name
  17- 20 I4     arcsec oRA   Right Ascension offset from center 
  22- 25 I4     arcsec oDE   Declination offset from center
  27- 31 F5.1   pix    oX    X pixel offset from center (1) 
  33- 37 F5.1   pix    oY    Y pixel offset from center (1)
  39- 43 F5.2   %      P     Polarization magnitude
  45- 49 F5.2   %    e_P     Uncertainty in P
  51- 55 F5.1   deg    PA    Polarization position angle; degrees east of north
  57- 62 F6.1   deg  e_PA    Uncertainty in PA
  64- 69 F6.1   Jy     Int   Source intensity in units of Jy/beam
  71- 74 F4.1   Jy   e_Int   Uncertainty in Int in units of Jy/beam
  76- 78 I3     ---    Num   Number of measurements
--------------------------------------------------------------------------------
Note (1): oX is parallel to RA, except M17 is 16 degrees CW from RA and M82 
          is 24 degrees CW from RA.  oY is parallel to Dec, except M17 is 
          16 degrees CW from Dec and M82 is 24 degrees CW from Dec. Pixel 
          offsets in the x- and y-directions are given in units of the pixel
          center-to-center spacing, 17.8 arcseconds. Right Ascension and 
          Declination offsets are calculated using this spacing and are 
          rounded to the nearest arcsecond; offsets are given with respect to 
OMC-2            -14 -103  -0.8  -5.8  3.41  0.78 123.5    6.7   27.7  0.6   3 
OMC-2              4 -174   0.2  -9.8 11.32  2.69 120.0    6.5    7.3  0.5   3 
OMC-2              4 -156   0.2  -8.8  5.65  2.05 118.9   10.3    9.7  0.5   3 
OMC-2              4 -138   0.2  -7.8  2.05  1.15 125.3   16.2   17.5  0.7   3 
OMC-2              4 -120   0.2  -6.8  3.74  1.15 114.5    9.0   23.3  0.7   3 
OMC-3            -89    0  -5.0   0.0  3.82  1.27 169.6    9.6   38.9  2.2   3 
OMC-3            -89   18  -5.0   1.0  2.28  0.91 162.8   11.4   44.9  1.0   5 
OMC-3            -89   36  -5.0   2.0  2.11  0.57 115.7    7.7   65.2  1.4   5 
OMC-3            -89   53  -5.0   3.0  2.27  0.47 142.3    6.0   85.3  1.0   5 
OMC-3            -71  -18  -4.0  -1.0  1.77  1.21 154.4   19.5   40.7  2.4   3 
OMC-3            -71    0  -4.0   0.0  3.51  0.66 125.9    5.5   43.3  1.0   9 
OMC-3            -71   18  -4.0   1.0  1.90  0.46 135.9    6.9   55.8  0.9  12 
OMC-3            -71   36  -4.0   2.0  2.07  0.27 138.7    3.7   93.9  0.9  12 
OMC-3            -71   53  -4.0   3.0  2.17  0.29 128.1    3.8   95.3  0.9  12 
OMC-3            -71   71  -4.0   4.0  1.55  0.46 138.2    8.6   77.9  1.3   8 
OMC-3            -53  -36  -3.0  -2.0  2.18  1.47  19.2   19.3   50.4  6.4   5 
OMC-3            -53  -18  -3.0  -1.0  0.37  0.65 155.4   51.7   50.4  3.0  16 
OMC-3            -53    0  -3.0   0.0  1.27  0.44 134.6   10.0   56.0  3.1  21 
OMC-3            -53   18  -3.0   1.0  1.77  0.37 135.7    5.9   66.3  3.4  21 
OMC-3            -53   36  -3.0   2.0  1.56  0.23 128.5    4.3   99.3  9.7  16 
OMC-3            -53   53  -3.0   3.0  2.12  0.34 124.0    4.6   83.1  0.9  12 
OMC-3            -53   71  -3.0   4.0  3.34  0.52 133.0    4.5   52.9  0.9  12 
OMC-3            -53   89  -3.0   5.0  4.04  0.91 121.6    6.4   46.6  2.2   5 
OMC-3            -36  -53  -2.0  -3.0  3.26  1.77 121.9   15.7   39.1  6.0   5 
OMC-3            -36  -36  -2.0  -2.0  3.07  0.61 149.5    5.7   34.4  2.2  19 
OMC-3            -36  -18  -2.0  -1.0  2.75  0.45 149.7    4.7   44.2  1.1  30 
OMC-3            -36    0  -2.0   0.0  1.68  0.32 130.3    8.0   52.4  1.1  35 
OMC-3            -36   18  -2.0   1.0  1.96  0.22 139.4    3.2   66.3  1.2  35 
OMC-3            -36   36  -2.0   2.0  1.68  0.24 130.2    4.1   97.9  2.0  25 
OMC-3            -36   53  -2.0   3.0  2.04  0.38 136.5    5.3   69.3  7.9  16 
OMC-3            -36   71  -2.0   4.0  3.97  0.65 135.4    4.7   42.6  0.9  12 
OMC-3            -36   89  -2.0   5.0  5.48  1.14 120.1    5.9   38.4  2.2   5 
OMC-3            -18  -53  -1.0  -3.0  0.66  0.90 114.5   38.3   27.6  2.0  15 
OMC-3            -18  -36  -1.0  -2.0  2.11  0.63 132.4    8.6   33.0  1.6  23 
OMC-3            -18  -18  -1.0  -1.0  2.35  0.46 132.8    5.6   41.2  1.2  30 
OMC-3            -18    0  -1.0   0.0  1.83  0.20 135.9    3.5   65.0  1.1  35 
OMC-3            -18   18  -1.0   1.0  1.79  0.20 139.3    3.2   84.4  1.1  35 
OMC-3            -18   36  -1.0   2.0  1.78  0.32 139.5    7.3   72.1  1.0  29 
OMC-3            -18   53  -1.0   3.0  2.60  0.50 143.9    5.5   54.9  3.4  20 
OMC-3            -18   71  -1.0   4.0  4.49  0.79 136.1    5.0   31.2  0.8  12 
OMC-3            -18   89  -1.0   5.0  3.95  1.32 126.5    9.4   30.4  2.1   5 
OMC-3             -0  -53   0.0  -3.0  2.24  0.60 151.3    7.6   30.0  2.0  15 
OMC-3             -0  -36   0.0  -2.0  2.42  0.62 139.6    6.2   38.8  1.0  23 
OMC-3             -0  -18   0.0  -1.0  1.16  0.34 144.0    7.8   57.7  1.2  27 
OMC-3              0    0   0.0   0.0  1.32  0.19 122.4    4.7  110.0  1.1  33 
OMC-3              0   18   0.0   1.0  1.53  0.26 146.3    5.6   69.7  1.1  35 
OMC-3              0   36   0.0   2.0  1.61  0.39 124.9    8.6   46.9  1.1  35 
OMC-3              0   53   0.0   3.0  4.53  0.75 141.3    4.8   41.8  3.3  20 
OMC-3              0   71   0.0   4.0  4.06  1.29 145.8    9.0   25.1  1.2   9 
OMC-3              0   89   0.0   5.0  4.45  1.81 135.8   11.6   28.4  4.1   3 
OMC-3             18  -53   1.0  -3.0  2.07  0.63 145.8    7.4   40.2  2.7  15 
OMC-3             18  -36   1.0  -2.0  1.18  0.41 136.9    9.8   44.0  1.0  23 
OMC-3             18  -18   1.0  -1.0  1.20  0.52 142.8   17.2   49.4  1.0  23 
OMC-3             18   -0   1.0   0.0  0.82  0.31 150.3   10.6   62.1  1.3  27 
OMC-3             18   18   1.0   1.0  1.65  0.40 147.9    6.9   46.9  1.1  30 
OMC-3             18   36   1.0   2.0  1.96  0.54 130.9    8.0   35.3  1.2  30 
OMC-3             18   53   1.0   3.0  2.13  1.15 137.5   15.6   32.4  3.2  15 
OMC-3             18   71   1.0   4.0  5.03  2.04 138.5   11.4   26.6  4.3   3 
OMC-3             36  -53   2.0  -3.0  2.21  0.61 167.0    8.0   30.9  6.4  10 
OMC-3             36  -36   2.0  -2.0  2.17  0.91 140.1   12.1   34.0  1.7  19 
OMC-3             36  -18   2.0  -1.0  1.56  0.51 147.8    9.4   35.9  1.4  23 
OMC-3             36   -0   2.0   0.0  0.99  0.51   5.2   14.8   39.9  1.4  23 
OMC-3             36   18   2.0   1.0  0.31  0.54  20.1   49.1   40.1  1.0  23 
OMC-3             36   36   2.0   2.0  1.75  0.82 122.9   13.5   29.9  2.1  18 
OMC-3             36   53   2.0   3.0  2.03  3.29  90.0   32.2   40.4  5.9   4 
OMC-3             53  -36   3.0  -2.0  1.11  1.38 132.5   36.0   16.3  5.4  10 
OMC-3             53  -18   3.0  -1.0  3.22  0.97 148.8    8.6   25.6  2.0  14 
OMC-3             53   -0   3.0   0.0  3.00  0.90 163.0    8.6   29.1  2.8  14 
OMC-3             53   18   3.0   1.0  2.11  1.03 169.2   14.0   32.2  2.7  14 
OMC-3             53   36   3.0   2.0  4.22  2.10 146.9   14.3   42.7  6.0   4 
OMC-3              3 -268   0.2 -15.0  1.43  0.42  88.5    8.5   21.1  0.1  15 
OMC-3              3 -250   0.2 -14.0  1.44  0.49 115.2    9.9   21.5  0.1  17 
OMC-3              3 -232   0.2 -13.0  2.60  0.35 104.7    3.8   26.3  0.1  17 
OMC-3              3 -214   0.2 -12.0  1.64  0.40 117.8    7.0   21.0  0.1  17 
OMC-3             21 -286   1.2 -16.0  1.38  0.35  92.4    7.3   22.8  0.1  17 
OMC-3             21 -268   1.2 -15.0  0.59  0.32 106.1   15.2   25.6  0.1  17 
OMC-3             21 -250   1.2 -14.0  0.61  0.39 120.7   17.9   28.7  0.1  17 
OMC-3             21 -232   1.2 -13.0  1.26  0.26 122.1    5.8   29.4  0.1  17 
OMC-3             21 -214   1.2 -12.0  1.66  0.54 100.1    9.4   22.7  0.1  17 
OMC-3             21 -197   1.2 -11.0  3.33  1.55 144.7   13.5   16.5  0.2   3 
OMC-3             39 -286   2.2 -16.0  0.73  0.23  68.1    9.3   24.4  0.1  17 
OMC-3             39 -268   2.2 -15.0  0.55  0.26 104.9   13.6   30.1  0.1  17 
OMC-3             39 -250   2.2 -14.0  0.18  0.16 118.1   25.4   39.6  0.1  17 
OMC-3             39 -232   2.2 -13.0  1.31  0.33 127.5    7.3   40.0  0.1  17 
OMC-3             39 -214   2.2 -12.0  0.80  0.26 129.8    9.2   35.2  0.1  17 
OMC-3             39 -197   2.2 -11.0  1.93  0.42 103.1    6.1   23.2  0.1  17 
OMC-3             57 -286   3.2 -16.0  0.86  0.35  82.5   11.5   23.7  0.1  17 
OMC-3             57 -268   3.2 -15.0  0.60  0.23 117.1   11.0   31.6  0.1  17 
OMC-3             57 -250   3.2 -14.0  1.37  0.33 118.8    7.2   30.8  0.1  17 
OMC-3             57 -232   3.2 -13.0  1.06  0.24 135.0    6.4   38.5  0.1  17 
OMC-3             57 -214   3.2 -12.0  0.48  0.30 138.3   17.8   33.4  0.1  17 
OMC-3             57 -197   3.2 -11.0  1.34  0.35 131.6    7.4   27.2  0.1  17 
OMC-3             74 -286   4.2 -16.0  0.64  0.40 143.1   17.9   16.3  0.0  16 
OMC-3             74 -268   4.2 -15.0  0.96  0.61 124.5   18.2   21.2  0.1  17 
OMC-3             74 -250   4.2 -14.0  1.07  0.34 105.3    9.3   19.2  0.1  17 
OMC-3             74 -232   4.2 -13.0  1.72  0.36 151.4    5.9   22.4  0.1  17 
OMC-3             74 -214   4.2 -12.0  1.72  0.36 125.7    6.0   23.2  0.1  17 
OMC-3             74 -197   4.2 -11.0  2.72  0.46 116.6    4.8   18.2  0.1  16 
OMC-3             92 -268   5.2 -15.0  1.37  0.41 122.5    8.7   18.9  0.1  16 
OMC-3             92 -250   5.2 -14.0  1.68  0.42 121.3    7.2   16.3  0.1  16 
OMC-3             92 -232   5.2 -13.0  1.71  0.46 145.3    7.6   17.2  0.1  16 
OMC-3             92 -214   5.2 -12.0  2.12  0.66 140.8    8.9   15.7  0.1  16 
OMC-4            -71  -18  -4.0  -1.0  1.56  0.50 176.6    9.3   35.6  0.3   5 
OMC-4            -71    0  -4.0   0.0  0.69  0.71 119.8   29.5   31.6  0.3   5 
OMC-4            -71   18  -4.0   1.0  0.41  0.59 138.7   41.6   34.1  0.0   5 
OMC-4            -71   36  -4.0   2.0  2.56  0.51 149.6    5.7   31.0  0.4   5 
OMC-4            -53  -36  -3.0  -2.0  1.08  0.63 156.3   16.8   26.4  1.4   9 
OMC-4            -53  -18  -3.0  -1.0  0.62  0.65 156.3   29.2   24.3  2.4  14 
OMC-4            -53    0  -3.0   0.0  1.47  0.61 158.9   11.9   26.6  3.0  14 
OMC-4            -53   18  -3.0   1.0  0.73  0.49 159.8   19.5   30.4  3.2  14 
OMC-4            -53   36  -3.0   2.0  2.23  0.65 146.3    8.4   30.6  2.8  10 
OMC-4            -36  -53  -2.0  -3.0  0.36  1.39  83.9  110.1   27.0  2.7   4 
OMC-4            -36  -36  -2.0  -2.0  1.83  0.43 172.3    6.7   22.0  2.9  14 
OMC-4            -36  -18  -2.0  -1.0  1.96  0.57 178.8    8.4   24.1  3.4  18 
OMC-4            -36    0  -2.0   0.0  2.24  0.41   1.0    5.3   24.9  4.2  18 
OMC-4            -36   18  -2.0   1.0  1.04  0.63 167.5   17.4   26.6  3.7  18 
OMC-4            -36   36  -2.0   2.0  1.53  0.44 159.1    8.2   27.0  3.0  18 
OMC-4            -36   53  -2.0   3.0  1.07  0.56 104.5   14.9   29.9  3.3  10 
OMC-4            -18  -53  -1.0  -3.0  4.75  2.26  49.3   13.7   20.3  2.6   4 
OMC-4            -18  -36  -1.0  -2.0  2.09  0.60 170.6    8.3   19.7  2.7  18 
OMC-4            -18  -18  -1.0  -1.0  2.01  0.43 163.6    6.1   24.8  3.8  18 
OMC-4            -18    0  -1.0   0.0  2.33  0.61 158.5    7.7   28.3  3.9  18 
OMC-4            -18   18  -1.0   1.0  1.58  0.48 166.9    7.9   31.8  8.0  17 
OMC-4            -18   36  -1.0   2.0  1.81  0.47 154.7    7.5   26.0  3.3  18 
OMC-4            -18   53  -1.0   3.0  0.59  0.57 151.2   25.3   27.9  3.2  14 
OMC-4             -0  -53   0.0  -3.0  8.63  5.43 155.6   18.0   13.9  2.4   4 
OMC-4             -0  -36   0.0  -2.0  0.64  0.85 159.9   37.3   14.6  3.4  18 
OMC-4             -0  -18   0.0  -1.0  2.93  0.71   6.8    6.9   25.6  3.3  18 
OMC-4              0    0   0.0   0.0  0.96  0.33 179.2    9.9   33.1  4.4  18 
OMC-4              0   18   0.0   1.0  1.18  0.35   7.0    8.4   36.7  4.3  18 
OMC-4              0   36   0.0   2.0  1.48  0.43 147.0    7.5   31.3  3.6  18 
OMC-4              0   53   0.0   3.0  1.05  0.52 149.5   12.5   29.0  3.4  14 
OMC-4             18  -53   1.0  -3.0  4.33  4.00  57.7   25.9   11.1  2.3   4 
OMC-4             18  -18   1.0  -1.0  1.23  0.74  19.3   17.1   13.7  1.9  18 
OMC-4             18   -0   1.0   0.0  1.19  0.56   0.2   13.5   20.2  3.0  18 
OMC-4             18   18   1.0   1.0  2.13  0.66 159.7    8.3   23.7  3.0  18 
OMC-4             18   36   1.0   2.0  0.67  0.50 154.5   21.6   28.1  4.7  18 
OMC-4             18   53   1.0   3.0  2.43  1.10 122.9   11.6   27.3  5.7   9 
OMC-4             36  -36   2.0  -2.0  3.83  3.04  12.6   22.6    8.9  1.2   8 
OMC-4             36   36   2.0   2.0  1.75  1.17 167.8   19.1   18.4  5.1   9 
OMC-4             36   53   2.0   3.0  4.32  1.56   8.3   10.2   28.9  2.9   4 
OMC-4             53  -18   3.0  -1.0  3.96  6.41  87.6   44.1    8.8  2.0   4 
OMC-4             53   -0   3.0   0.0  5.30  4.65  72.6   24.6    8.3  2.6   4 
OMC-4             53   18   3.0   1.0  3.57  3.85  25.8   30.6   10.0  2.6   4 
OMC-4             53   36   3.0   2.0  3.79  2.70 177.6   20.6   12.0  2.7   4 
L1641N           -53  -36  -3.0  -2.0  1.96  4.24  75.2   55.5   16.2  3.9   6 
L1641N           -53  -18  -3.0  -1.0  1.25  2.78 178.9   63.4   13.6  1.0  12 
L1641N           -53    0  -3.0   0.0  5.83  3.62 111.8   17.8   10.8  1.4  12 
L1641N           -53   18  -3.0   1.0  4.66  3.42 145.4   21.0    9.3  1.4  12 
L1641N           -36  -53  -2.0  -3.0  1.00  3.87  96.9  112.5   16.0  3.7   6 
L1641N           -36  -36  -2.0  -2.0  1.91  1.75  11.8   26.0   19.1  1.4  14 
L1641N           -36  -18  -2.0  -1.0  1.37  1.30  83.1   27.4   21.0  0.9  20 
L1641N           -36    0  -2.0   0.0  1.05  1.56  84.9   37.8   18.0  0.8  20 
L1641N           -36   18  -2.0   1.0  1.33  1.58  48.8   34.0   15.0  0.8  20 
L1641N           -36   36  -2.0   2.0  2.71  3.21 125.8   33.9    9.3  0.8  18 
L1641N           -18  -53  -1.0  -3.0  2.31  2.55  17.8   31.6   18.4  3.0   8 
L1641N           -18  -36  -1.0  -2.0  2.07  1.28 123.0   17.7   23.2  0.9  20 
L1641N           -18  -18  -1.0  -1.0  1.11  0.76  58.8   19.6   36.7  0.9  20 
L1641N           -18    0  -1.0   0.0  0.81  0.72   5.3   34.2   39.4  1.0  20 
L1641N           -18   18  -1.0   1.0  3.08  1.18   6.4   10.9   21.9  0.8  20 
L1641N           -18   36  -1.0   2.0  2.03  2.00  44.1   28.1   13.0  0.8  20 
L1641N           -18   53  -1.0   3.0  6.66  6.21  47.9   26.7    6.0  1.0  12 
L1641N            -0  -53   0.0  -3.0  2.75  2.49 145.9   26.0   20.0  3.2   8 
L1641N            -0  -36   0.0  -2.0  0.77  1.07   1.7   39.7   26.4  0.8  20 
L1641N            -0  -18   0.0  -1.0  1.14  0.52  28.6   13.2   51.4  0.9  20 
L1641N             0    0   0.0   0.0  0.30  0.27 115.6   26.5   89.0  0.8  20 
L1641N             0   18   0.0   1.0  1.77  0.80  64.3   13.1   34.8  0.9  20 
L1641N             0   36   0.0   2.0  1.65  1.51  12.5   25.0   16.9  0.8  20 
L1641N             0   53   0.0   3.0  8.71  3.94  19.9   13.0    7.2  1.0  12 
L1641N            18  -53   1.0  -3.0  4.38  2.19  22.6   14.3   19.2  3.3   8 
L1641N            18  -36   1.0  -2.0  2.86  1.02  18.7   10.2   26.6  0.8  20 
L1641N            18  -18   1.0  -1.0  2.93  1.31  39.8    7.0   37.0  0.8  20 
L1641N            18   -0   1.0   0.0  0.95  0.53  22.6   16.1   47.6  0.8  20 
L1641N            18   18   1.0   1.0  1.18  0.91  69.2   21.5   35.1  1.0  20 
L1641N            18   36   1.0   2.0  0.42  1.11 172.7   75.8   21.7  0.8  20 
L1641N            18   53   1.0   3.0  2.72  2.69  61.6   28.3   11.6  1.0  12 
L1641N            36  -36   2.0  -2.0  0.05  1.19  82.2  657.2   24.8  1.2  14 
L1641N            36  -18   2.0  -1.0  1.32  0.98 174.3   21.0   24.8  0.8  20 
L1641N            36   -0   2.0   0.0  1.79  1.00  25.9   16.0   24.0  0.7  20 
L1641N            36   18   2.0   1.0  3.70  0.88  74.6    6.8   30.4  0.8  20 
L1641N            36   36   2.0   2.0  1.57  1.19  70.4   21.8   23.7  0.9  14 
L1641N            36   53   2.0   3.0  3.41  3.27  29.1   27.2   14.1  1.7   6 
L1641N            53  -18   3.0  -1.0  2.36  1.75 166.9   21.2   21.8  1.6   8 
L1641N            53   -0   3.0   0.0  2.87  1.83  59.2   18.2   22.0  1.6   8 
L1641N            53   18   3.0   1.0  1.16  1.45   9.3   35.3   28.0  1.7   8 
L1641N            53   36   3.0   2.0  2.10  3.49 138.7   30.3   21.4  1.9   6 
NGC_2023         -53   36  -3.0   2.0  1.77  4.97 132.8   80.1    9.2  2.8   3 
NGC_2023         -36  -36  -2.0  -2.0  2.30  6.08  57.5   67.7    8.4  2.7   5 
NGC_2023         -36  -18  -2.0  -1.0  4.36  2.91 143.1   18.7   11.3  1.6   7 
NGC_2023         -36    0  -2.0   0.0  6.90  2.87 147.0   11.9   11.0  1.5   7 
NGC_2023         -36   18  -2.0   1.0  3.72  2.18 130.2   16.7   13.6  1.7   7 
NGC_2023         -36   36  -2.0   2.0  2.04  2.41 106.9   33.5   14.8  1.6   7 
NGC_2023         -36   53  -2.0   3.0  7.62  4.64 114.4   16.7   14.1  2.5   3 
NGC_2023         -18  -36  -1.0  -2.0  7.56  2.76 174.7   10.4   13.4  1.8   7 
NGC_2023         -18  -18  -1.0  -1.0  1.63  1.78 149.8   30.5   17.5  1.6   7 
NGC_2023         -18    0  -1.0   0.0  2.95  1.35 108.8   13.2   23.6  1.6   7 
NGC_2023         -18   18  -1.0   1.0  1.66  1.53  98.7   26.3   23.0  2.0   6 
NGC_2023         -18   36  -1.0   2.0  2.52  1.93 161.0   20.8   19.3  1.7   7 
NGC_2023         -18   53  -1.0   3.0  5.29  2.45 121.9   13.7   21.8  1.7   5 
NGC_2023          -0  -36   0.0  -2.0  1.74  1.86 127.3   31.0   16.3  1.6   7 
NGC_2023          -0  -18   0.0  -1.0  1.28  1.00  96.9   22.3   28.7  1.7   7 
NGC_2023           0    0   0.0   0.0  1.02  0.63 102.2   17.7   43.0  1.7   7 
NGC_2023           0   18   0.0   1.0  1.65  1.25 141.5   21.6   28.5  1.8   7 
NGC_2023           0   36   0.0   2.0  3.37  1.65 136.1   14.0   20.3  1.6   7 
NGC_2023           0   53   0.0   3.0  4.36  2.16 149.4   14.0   20.1  1.5   5 
NGC_2023          18  -36   1.0  -2.0  2.39  1.39 151.6   16.6   20.8  1.6   7 
NGC_2023          18  -18   1.0  -1.0  1.13  0.93  53.9   23.4   30.7  1.5   7 
NGC_2023          18   -0   1.0   0.0  2.49  0.96  13.1   11.3   28.7  1.6   7 
NGC_2023          18   18   1.0   1.0  0.82  1.59  27.4   54.9   19.6  1.6   7 
NGC_2023          18   36   1.0   2.0  5.81  2.41  98.0   11.7   15.7  1.8   6 
NGC_2023          18   53   1.0   3.0  6.70  2.44 120.4   10.2   15.7  1.4   5 
NGC_2023          36  -36   2.0  -2.0  2.30  2.17 111.0   29.8   15.8  3.0   4 
NGC_2023          36  -18   2.0  -1.0  1.40  1.28  65.1   25.0   19.8  1.4   7 
NGC_2023          36   -0   2.0   0.0  1.47  1.39  60.8   25.4   20.1  1.5   7 
NGC_2023          36   18   2.0   1.0  5.12  2.07  19.2   11.0   14.7  1.5   7 
NGC_2023          36   36   2.0   2.0  4.63  2.49  28.7   15.8   17.8  1.9   5 
NGC_2024         -53  -71  -3.0  -4.0  1.61  1.44 151.7   26.8   89.0  3.8   3 
NGC_2024         -53  -53  -3.0  -3.0  1.13  1.16  37.8   29.1   93.0  3.2   5 
NGC_2024         -53  -36  -3.0  -2.0  2.42  0.66 170.2    7.7   90.9  1.0  13 
NGC_2024         -53  -18  -3.0  -1.0  1.51  0.54 154.1   10.4   89.8  0.6  21 
NGC_2024         -53    0  -3.0   0.0  1.28  0.58 146.6   12.8   90.0  0.7  18 
NGC_2024         -53   18  -3.0   1.0  0.62  0.63 117.3   29.8   84.5  0.6  17 
NGC_2024         -53   36  -3.0   2.0  2.78  1.04 159.7   10.8   67.6  1.3   9 
NGC_2024         -36  -89  -2.0  -5.0  1.98  1.28  16.0   18.1  110.7  4.3   3 
NGC_2024         -36  -71  -2.0  -4.0  0.99  0.69 104.5   19.9  122.5  1.9   7 
NGC_2024         -36  -53  -2.0  -3.0  1.97  0.44 161.0    6.6  122.5  0.7  17 
NGC_2024         -36  -36  -2.0  -2.0  0.32  0.36   6.1   32.1  114.0  0.4  30 
NGC_2024         -36  -18  -2.0  -1.0  0.56  0.30 116.4   15.4  120.8  0.3  39 
NGC_2024         -36    0  -2.0   0.0  1.23  0.29 151.2    6.8  126.4  0.3  36 
NGC_2024         -36   18  -2.0   1.0  1.18  0.29 145.0    7.1  133.3  0.4  32 
NGC_2024         -36   36  -2.0   2.0  0.99  0.38 139.6   11.0  114.2  0.4  26 
NGC_2024         -36   53  -2.0   3.0  1.15  0.96 102.9   24.0   78.3  1.3   8 
NGC_2024         -18  -89  -1.0  -5.0  2.08  0.57 140.8    8.0  163.1  1.9   6 
NGC_2024         -18  -71  -1.0  -4.0  0.78  0.51 132.3   18.7  159.9  1.6   8 
NGC_2024         -18  -53  -1.0  -3.0  0.65  0.33 156.3   14.9  150.8  0.6  22 
NGC_2024         -18  -36  -1.0  -2.0  0.41  0.26 133.6   17.7  145.1  0.3  39 
NGC_2024         -18  -18  -1.0  -1.0  1.19  0.23 125.6    5.7  154.0  0.3  39 
NGC_2024         -18    0  -1.0   0.0  1.29  0.19 130.0    4.2  184.6  0.3  39 
NGC_2024         -18   18  -1.0   1.0  0.60  0.19 133.8    9.1  208.8  0.4  33 
NGC_2024         -18   36  -1.0   2.0  0.71  0.22 132.5    9.0  177.3  0.4  31 
NGC_2024         -18   53  -1.0   3.0  1.58  0.49 126.6    8.8  105.9  0.6  17 
NGC_2024          -0  -89   0.0  -5.0  0.67  0.43 145.5   18.7  234.2  1.8   6 
NGC_2024          -0  -71   0.0  -4.0  0.57  0.42 128.8   20.8  205.5  1.9   8 
NGC_2024          -0  -53   0.0  -3.0  0.25  0.30 118.7   34.5  184.8  0.6  21 
NGC_2024          -0  -36   0.0  -2.0  0.69  0.20 123.0    8.3  187.7  0.3  39 
NGC_2024          -0  -18   0.0  -1.0  0.66  0.15 119.9    6.4  229.8  0.3  39 
NGC_2024           0    0   0.0   0.0  0.78  0.11 147.9    3.9  332.1  0.3  39 
NGC_2024           0   18   0.0   1.0  0.77  0.14 137.3    5.4  270.5  0.4  33 
NGC_2024           0   36   0.0   2.0  1.50  0.25 135.8    4.7  157.1  0.4  30 
NGC_2024           0   53   0.0   3.0  2.06  0.51 119.7    7.1  100.4  0.6  17 
NGC_2024          18  -89   1.0  -5.0  0.77  0.28 113.1   10.4  371.2  2.0   6 
NGC_2024          18  -71   1.0  -4.0  0.53  0.30 177.0   16.0  311.8  1.8   8 
NGC_2024          18  -53   1.0  -3.0  0.14  0.23   3.6   47.9  219.5  0.6  21 
NGC_2024          18  -36   1.0  -2.0  0.56  0.15 143.3    7.6  254.6  0.3  38 
NGC_2024          18  -18   1.0  -1.0  0.58  0.12 143.5    6.1  301.6  0.3  38 
NGC_2024          18   -0   1.0   0.0  0.87  0.14 161.7    4.6  248.0  0.3  38 
NGC_2024          18   18   1.0   1.0  0.50  0.23 159.0   12.8  169.7  0.3  32 
NGC_2024          18   36   1.0   2.0  1.18  0.35 150.4    8.4  119.7  0.3  30 
NGC_2024          18   53   1.0   3.0  2.34  0.57 142.5    7.0   88.8  0.6  17 
NGC_2024          36  -89   2.0  -5.0  0.55  0.30 118.4   15.3  466.2  3.6   3 
NGC_2024          36  -71   2.0  -4.0  0.08  0.23 155.8   78.9  429.7  2.1   7 
NGC_2024          36  -53   2.0  -3.0  0.78  0.27 161.0    9.9  235.6  1.0  13 
NGC_2024          36  -36   2.0  -2.0  0.54  0.19   7.6    9.8  230.5  0.4  30 
NGC_2024          36  -18   2.0  -1.0  0.64  0.17 166.8    7.7  215.1  0.3  38 
NGC_2024          36   -0   2.0   0.0  1.47  0.24 157.3    4.7  161.1  0.3  35 
NGC_2024          36   18   2.0   1.0  1.65  0.33 144.9    5.8  123.4  0.3  31 
NGC_2024          36   36   2.0   2.0  1.50  0.52 130.5   10.0   92.3  0.5  22 
NGC_2024          36   53   2.0   3.0  2.27  0.95 150.2   12.0   82.2  1.1   9 
NGC_2024          53  -71   3.0  -4.0  0.97  0.47  36.5   14.0  319.8  4.0   3 
NGC_2024          53  -53   3.0  -3.0  1.07  0.64  43.4   17.2  200.3  2.8   4 
NGC_2024          53  -36   3.0  -2.0  0.80  0.49  12.8   17.8  166.2  1.3   9 
NGC_2024          53  -18   3.0  -1.0  1.75  0.34 179.9    5.6  152.6  0.6  18 
NGC_2024          53   -0   3.0   0.0  1.19  0.44 149.1   10.6  132.6  0.7  15 
NGC_2024          53   18   3.0   1.0  0.90  0.59 146.3   18.8  105.1  0.8  14 
NGC_2024          53   36   3.0   2.0  2.95  0.91 124.6    8.8   80.0  1.0   9 
NGC_2024         -34 -113  -1.9  -6.3  0.47  0.37 146.5   22.6  108.4  1.8   8 
NGC_2024         -34  -95  -1.9  -5.3  0.67  0.28 151.0   13.5  120.3  1.0  16 
NGC_2024         -34  -77  -1.9  -4.3  1.10  0.26 168.5    6.7  125.2  1.1  16 
NGC_2024         -34  -59  -1.9  -3.3  0.70  0.24 152.0    9.9  133.3  1.1  16 
NGC_2024         -34  -41  -1.9  -2.3  0.35  0.38 172.8   27.5  122.6  1.9   9 
NGC_2024         -16 -130  -0.9  -7.3  0.60  0.49  52.1   18.2  107.7  1.8   8 
